Data,Casos,Mortes,Estado,
3/4/2020,0,0,PE,
3/4/2020,0,0,AL,
3/4/2020,0,0,SE,
3/4/2020,0,0,BA,
3/4/2020,0,0,MG,
3/4/2020,0,0,ES,
3/4/2020,0,0,RJ,
3/4/2020,3,0,SP,
3/4/2020,0,0,PR,
3/4/2020,0,0,SC,
3/4/2020,0,0,RS,
3/4/2020,0,0,MS,
3/4/2020,0,0,MT,
3/4/2020,0,0,GO,
3/4/2020,0,0,DF,
3/5/2020,0,0,RO,
3/5/2020,0,0,AM,
3/5/2020,0,0,PA,
3/5/2020,0,0,MA,
3/5/2020,0,0,PI,
3/5/2020,0,0,CE,
3/5/2020,0,0,RN,
3/5/2020,0,0,PB,
3/5/2020,0,0,PE,
3/5/2020,0,0,AL,
3/5/2020,0,0,SE,
3/5/2020,0,0,BA,
3/5/2020,0,0,MG,
3/5/2020,0,0,ES,
3/5/2020,1,0,RJ,
3/5/2020,6,0,SP,
3/5/2020,0,0,PR,
3/5/2020,0,0,SC,
3/5/2020,0,0,RS,
3/5/2020,0,0,MS,
3/5/2020,0,0,MT,
3/5/2020,0,0,GO,
3/5/2020,0,0,DF,
3/6/2020,0,0,RO,
3/6/2020,0,0,AM,
3/6/2020,0,0,PA,
3/6/2020,0,0,MA,
3/6/2020,0,0,PI,
3/6/2020,0,0,CE,
3/6/2020,0,0,RN,
3/6/2020,0,0,PB,
3/6/2020,0,0,PE,
3/6/2020,0,0,AL,
3/6/2020,0,0,SE,
3/6/2020,1,0,BA,
3/6/2020,0,0,MG,
3/6/2020,1,0,ES,
3/6/2020,1,0,RJ,
3/6/2020,10,0,SP,
3/6/2020,0,0,PR,
3/6/2020,0,0,SC,
3/6/2020,0,0,RS,
3/6/2020,0,0,MS,
3/6/2020,0,0,MT,
3/6/2020,0,0,GO,
3/6/2020,0,0,DF,
3/7/2020,0,0,RO,
3/7/2020,0,0,AM,
3/7/2020,0,0,PA,
3/7/2020,0,0,MA,
3/7/2020,0,0,PI,
3/7/2020,0,0,CE,
3/7/2020,0,0,RN,
3/7/2020,0,0,PB,
3/7/2020,0,0,PE,
3/7/2020,0,0,AL,
3/7/2020,0,0,SE,
3/7/2020,2,0,BA,
3/7/2020,0,0,MG,
3/7/2020,1,0,ES,
3/7/2020,2,0,RJ,
3/7/2020,13,0,SP,
3/7/2020,0,0,PR,
3/7/2020,0,0,SC,
3/7/2020,0,0,RS,
3/7/2020,0,0,MS,
3/7/2020,0,0,MT,
3/7/2020,0,0,GO,
3/7/2020,1,0,DF,
3/8/2020,0,0,RO,
3/8/2020,0,0,AM,
3/8/2020,0,0,PA,
3/8/2020,0,0,MA,
3/8/2020,0,0,PI,
3/8/2020,0,0,CE,
3/8/2020,0,0,RN,
3/8/2020,0,0,PB,
3/8/2020,0,0,PE,
3/8/2020,1,0,AL,
3/8/2020,0,0,SE,
3/8/2020,2,0,BA,
3/8/2020,1,0,MG,
3/8/2020,1,0,ES,
3/8/2020,3,0,RJ,
3/8/2020,16,0,SP,
3/8/2020,0,0,PR,
3/8/2020,0,0,SC,
3/8/2020,0,0,RS,
3/8/2020,0,0,MS,
3/8/2020,0,0,MT,
3/8/2020,0,0,GO,
3/8/2020,1,0,DF,
3/10/2020,0,0,RO,
3/10/2020,0,0,AC,
3/10/2020,0,0,AM,
3/10/2020,0,0,PA,
3/10/2020,0,0,MA,
3/10/2020,0,0,PI,
3/10/2020,0,0,CE,
3/10/2020,0,0,RN,
3/10/2020,0,0,PB,
3/10/2020,0,0,PE,
3/10/2020,1,0,AL,
3/10/2020,0,0,SE,
3/10/2020,2,0,BA,
3/10/2020,1,0,MG,
3/10/2020,1,0,ES,
3/10/2020,8,0,RJ,
3/10/2020,19,0,SP,
3/10/2020,0,0,PR,
3/10/2020,0,0,SC,
3/10/2020,1,0,RS,
3/10/2020,0,0,MS,
3/10/2020,0,0,MT,
3/10/2020,0,0,GO,
3/10/2020,1,0,DF,
3/11/2020,0,0,RO,
3/11/2020,0,0,AC,
3/11/2020,0,0,AM,
3/11/2020,0,0,PA,
3/11/2020,0,0,MA,
3/11/2020,0,0,PI,
3/11/2020,0,0,CE,
3/11/2020,0,0,RN,
3/11/2020,0,0,PB,
3/11/2020,0,0,PE,
3/11/2020,1,0,AL,
3/11/2020,0,0,SE,
3/11/2020,2,0,BA,
3/11/2020,1,0,MG,
3/11/2020,1,0,ES,
3/11/2020,13,0,RJ,
3/11/2020,30,0,SP,
3/11/2020,0,0,PR,
3/11/2020,0,0,SC,
3/11/2020,2,0,RS,
3/11/2020,0,0,MS,
3/11/2020,0,0,MT,
3/11/2020,0,0,GO,
3/11/2020,2,0,DF,
3/12/2020,0,0,RO,
3/12/2020,0,0,AC,
3/12/2020,0,0,AM,
3/12/2020,0,0,PA,
3/12/2020,0,0,MA,
3/12/2020,0,0,PI,
3/12/2020,0,0,CE,
3/12/2020,0,0,RN,
3/12/2020,0,0,PB,
3/12/2020,2,0,PE,
3/12/2020,1,0,AL,
3/12/2020,0,0,SE,
3/12/2020,2,0,BA,
3/12/2020,1,0,MG,
3/12/2020,1,0,ES,
3/12/2020,16,0,RJ,
3/12/2020,42,0,SP,
3/12/2020,6,0,PR,
3/12/2020,0,0,SC,
3/12/2020,4,0,RS,
3/12/2020,0,0,MS,
3/12/2020,0,0,MT,
3/12/2020,0,0,GO,
3/12/2020,2,0,DF,
3/13/2020,0,0,RO,
3/13/2020,0,0,AC,
3/13/2020,0,0,AM,
3/13/2020,0,0,PA,
3/13/2020,0,0,TO,
3/13/2020,0,0,MA,
3/13/2020,0,0,PI,
3/13/2020,0,0,CE,
3/13/2020,1,0,RN,
3/13/2020,0,0,PB,
3/13/2020,2,0,PE,
3/13/2020,1,0,AL,
3/13/2020,0,0,SE,
3/13/2020,2,0,BA,
3/13/2020,2,0,MG,
3/13/2020,1,0,ES,
3/13/2020,16,0,RJ,
3/13/2020,56,0,SP,
3/13/2020,6,0,PR,
3/13/2020,2,0,SC,
3/13/2020,4,0,RS,
3/13/2020,0,0,MS,
3/13/2020,0,0,MT,
3/13/2020,3,0,GO,
3/13/2020,2,0,DF,
3/14/2020,0,0,RO,
3/14/2020,0,0,AC,
3/14/2020,0,0,AM,
3/14/2020,0,0,PA,
3/14/2020,0,0,TO,
3/14/2020,0,0,MA,
3/14/2020,0,0,PI,
3/14/2020,0,0,CE,
3/14/2020,1,0,RN,
3/14/2020,0,0,PB,
3/14/2020,2,0,PE,
3/14/2020,1,0,AL,
3/14/2020,0,0,SE,
3/14/2020,2,0,BA,
3/14/2020,2,0,MG,
3/14/2020,1,0,ES,
3/14/2020,22,0,RJ,
3/14/2020,65,0,SP,
3/14/2020,6,0,PR,
3/14/2020,4,0,SC,
3/14/2020,6,0,RS,
3/14/2020,0,0,MS,
3/14/2020,0,0,MT,
3/14/2020,3,0,GO,
3/14/2020,6,0,DF,
3/15/2020,0,0,RO,
3/15/2020,0,0,AC,
3/15/2020,1,0,AM,
3/15/2020,0,0,RR,
3/15/2020,0,0,PA,
3/15/2020,0,0,AP,
3/15/2020,0,0,TO,
3/15/2020,0,0,MA,
3/15/2020,0,0,PI,
3/15/2020,0,0,CE,
3/15/2020,1,0,RN,
3/15/2020,0,0,PB,
3/15/2020,2,0,PE,
3/15/2020,1,0,AL,
3/15/2020,1,0,SE,
3/15/2020,2,0,BA,
3/15/2020,2,0,MG,
3/15/2020,1,0,ES,
3/15/2020,24,0,RJ,
